CategoryCode,ItemCode,DateID,DailySales,Week,WeekID,DiscountValue,DiscountedPrice,SellingPrice,OnPromotion
category_2,117610,2021-10-01,1,w1,1,,,,0.0
category_4,245581,2021-10-01,6,w1,1,,,,0.0
category_2,1090258,2021-10-01,2,w1,1,,,,0.0
category_2,39436,2021-10-01,60,w1,1,0.25,52.5,70.0,1.0
category_3,1090024,2021-10-01,4,w1,1,,,,0.0
category_3,397213,2021-10-01,4,w1,1,,,,0.0
category_2,86974,2021-10-01,4,w1,1,,,,0.0
category_2,99079,2021-10-01,2,w1,1,,,,0.0
category_2,213802,2021-10-01,1,w1,1,,,,0.0
category_2,1071106,2021-10-01,5,w1,1,,,,0.0
category_4,1003192,2021-10-01,4,w1,1,,,,0.0
category_1,119554,2021-10-01,4,w1,1,,,,0.0
category_3,37861,2021-10-01,8,w1,1,,,,0.0
category_2,1090276,2021-10-01,1,w1,1,,,,0.0
category_1,371239,2021-10-01,3,w1,1,,,,0.0
category_2,172033,2021-10-01,5,w1,1,,,,0.0
category_2,216151,2021-10-01,1,w1,1,,,,0.0
category_3,132334,2021-10-01,2,w1,1,0.1,171.0,190.0,1.0
category_2,32245,2021-10-01,15,w1,1,,,,0.0
category_1,1084498,2021-10-01,1,w1,1,,,,0.0
category_2,745945,2021-10-01,1,w1,1,,,,0.0
category_2,399220,2021-10-01,1,w1,1,,,,0.0
category_2,1098493,2021-10-01,1,w1,1,,,,0.0
category_4,1003156,2021-10-01,4,w1,1,,,,0.0
category_1,1032550,2021-10-01,72,w1,1,,,,0.0
category_2,1071124,2021-10-01,6,w1,1,,,,0.0
category_1,1056463,2021-10-01,2,w1,1,,,,0.0
category_1,1032559,2021-10-01,2,w1,1,,,,0.0
category_2,174436,2021-10-01,9,w1,1,,,,0.0
category_1,1048975,2021-10-01,2,w1,1,,,,0.0
category_3,1081078,2021-10-01,3,w1,1,,,,0.0
category_2,132028,2021-10-01,26,w1,1,,,,0.0
category_1,839374,2021-10-01,6,w1,1,,,,0.0
category_2,836125,2021-10-01,6,w1,1,,,,0.0
category_3,131983,2021-10-01,2,w1,1,,,,0.0
category_2,30877,2021-10-01,11,w1,1,,,,0.0
category_2,40759,2021-10-01,12,w1,1,,,,0.0
category_3,169504,2021-10-01,133,w1,1,,,,0.0
category_1,38518,2021-10-01,2,w1,1,,,,0.0
category_1,1032532,2021-10-01,17,w1,1,,,,0.0
category_2,1070836,2021-10-01,3,w1,1,,,,0.0
category_2,858886,2021-10-01,1,w1,1,,,,0.0
category_2,1064473,2021-10-01,7,w1,1,,,,0.0
category_1,1049776,2021-10-01,2,w1,1,,,,0.0
category_1,1077118,2021-10-01,2,w1,1,,,,0.0
category_1,371104,2021-10-01,1,w1,1,,,,0.0
category_2,23569,2021-10-01,3,w1,1,,,,0.0
category_2,877624,2021-10-01,1,w1,1,,,,0.0
category_1,145978,2021-10-01,8,w1,1,,,,0.0
category_1,1032568,2021-10-01,120,w1,1,,,,0.0
